Bucks,2,40,21
Bulls,9,28,32
Cavaliers,3,39,21
Celtics,1,48,12
Clippers,4,39,20
Grizzlies,13,20,41
Hawks,10,26,34
Heat,7,34,26
Hornets,13,15,46
Jazz,11,27,34
Kings,6,34,25
Knicks,4,36,25
Lakers,10,33,29
Magic,6,35,26
Mavericks,8,34,27
Nets,11,24,36
Nuggets,3,42,19
Pacers,8,34,28
Pelicans,5,36,25
Piston,15,9,51
Raptors,12,23,38
Rockets,12,26,34
Spurs,15,13,48
Suns,7,35,26
Thunder,1,42,18
Timberwolves,2,42,19
TrailBlazers,14,17,42
Warriors,9,32,28
Wizards,14,9,51
76ers,5,35,25
